Description,Parts Cost,Estimated Hours,Complexity Multiplier,Adjusted Labor Cost,Truck Fee,Roof Access Fee,Total Base Cost,Flat Rate (Non-Contract),Flat Rate (PM Contract)
0121R00203PLGBS PANEL              ,76.92,1.0,1.0,60.0,10,75,221.92,321.78,289.61
0121R00204PLGBS PANEL              ,78.43,1.0,1.0,60.0,10,75,223.43,323.97,291.58
0121R00206PLGBS SIDE PANEL         ,64.35,1.0,1.0,60.0,10,75,209.35,303.56,273.2
0121R00228PDGBS SERVICE PACK       ,81.67,1.0,1.0,60.0,10,75,226.67,328.67,295.8
0121R00231PDGBS PANEL              ,76.63,1.0,1.0,60.0,10,75,221.63,321.36,289.23
0121R00232PDGBS PANEL              ,80.78,1.0,1.0,60.0,10,75,225.78,327.38,294.64
0121R00235PDGS                     ,81.89,1.0,1.0,60.0,10,75,226.89,328.99,296.09
0121R00239PLGBS LOUVERED PANEL     ,60.9,1.0,1.0,60.0,10,75,205.9,298.56,268.7
0121R00243PLGBS LOUVER SIDE PANE   ,87.49,1.0,1.0,60.0,10,75,232.49,337.11,303.4
0121R00244PLGBS PANEL              ,79.41,1.0,1.0,60.0,10,75,224.41,325.39,292.86
0121R00247PLGS RT CONTROL PANEL    ,59.21,1.0,1.0,60.0,10,75,204.21,296.1,266.49
0121R00269PDGS TOP PANEL           ,109.38,1.0,1.0,60.0,10,75,254.38,368.85,331.97
0121R00269PNGS SVC PACK            ,117.76,1.0,1.0,60.0,10,75,262.76,381.0,342.9
0121R00270PDG COND TOP PANEL       ,25.0,1.0,1.0,60.0,10,75,170.0,246.5,221.85
0121R00270PDGS COND TOP PANEL      ,63.21,1.0,1.0,60.0,10,75,208.21,301.9,271.71
0121R00301 MOUNTING BRACKET        ,55.76,1.0,1.0,60.0,10,75,200.76,291.1,261.99
0121R00316PDG LOWER PANEL          ,7.16,1.0,1.0,60.0,10,75,152.16,220.63,198.57
0121R00323PDG ACCESS PANEL         ,5.54,1.0,1.0,60.0,10,75,150.54,218.28,196.45
0121R00336PDGRS LOUVERED PANEL     ,84.11,1.0,1.0,60.0,10,75,229.11,332.21,298.99
0121R00344PDGLS LOUVERED PANEL L   ,124.1,1.0,1.0,60.0,10,75,269.1,390.2,351.18
0121R00344PDGRS LOUVERED PANEL R   ,114.51,1.0,1.0,60.0,10,75,259.51,376.29,338.66
0121R00346PDGLS PANEL              ,126.83,1.0,1.0,60.0,10,75,271.83,394.15,354.74
0121R00350PDGS LOUVERED POST       ,89.14,1.0,1.0,60.0,10,75,234.14,339.5,305.55
0121R00352PDGS LOUVER PANEL POST   ,58.76,1.0,1.0,60.0,10,75,203.76,295.45,265.91
0121R00355PDGS LOUVER POST         ,63.25,1.0,1.0,60.0,10,75,208.25,301.96,271.77
0121R00577PDG TOP PANEL            ,58.83,1.0,1.0,60.0,10,75,203.83,295.55,266.0
0121R00580PLGBS SIDE PANEL         ,72.35,1.0,1.0,60.0,10,75,217.35,315.16,283.64
0121R00582PLG LOUVERED SIDE PANE   ,57.44,1.0,1.0,60.0,10,75,202.44,293.54,264.18
0121R00583PDGS LOUVER POST 33.14   ,71.35,1.0,1.0,60.0,10,75,216.35,313.71,282.34
0121R00586PDGLS LEFT SIDE PANEL    ,110.84,1.0,1.0,60.0,10,75,255.84,370.97,333.87
0121R00586PDGRS LOUVER PANEL       ,110.84,1.0,1.0,60.0,10,75,255.84,370.97,333.87
0121R00587PDGLS PANEL GSZ1430      ,112.16,1.0,1.0,60.0,10,75,257.16,372.88,335.59
0121R00587PDGRS PANEL GSZ1430      ,112.16,1.0,1.0,60.0,10,75,257.16,372.88,335.59
0121R00590PLGBS  PANEL             ,138.87,1.0,1.0,60.0,10,75,283.87,411.61,370.45
0121R00590PNGBS SVC PACK           ,74.01,1.0,1.0,60.0,10,75,219.01,317.56,285.81
