Description,Parts Cost,Estimated Hours,Complexity Multiplier,Adjusted Labor Cost,Truck Fee,Roof Access Fee,Total Base Cost,Flat Rate (Non-Contract),Flat Rate (PM Contract)
0163R00003S CRANKCASE HEATER       ,24.98,1.0,1.0,60.0,10,75,169.98,246.47,221.82
0164F00001 ELBOW FLUE              ,6.22,1.0,1.0,60.0,10,75,151.22,219.27,197.34
0164F00002 FLUE PIPE W/BEND        ,5.06,1.0,1.0,60.0,10,75,150.06,217.59,195.83
0164G00005 HORSESHOE GROMMET       ,1.05,1.0,1.0,60.0,10,75,146.05,211.77,190.6
0164L00001 FAN BELT-NOTCHED A49    ,26.6,1.0,1.0,60.0,10,75,171.6,248.82,223.94
0164L00003 FAN BELT-NOTCHED        ,27.41,1.0,1.0,60.0,10,75,172.41,249.99,225.0
0164L00005 FAN BELT-NOTCHED        ,29.97,1.0,1.0,60.0,10,75,174.97,253.71,228.34
0164L00008 FAN BELT  NOTCHED       ,28.17,1.0,1.0,60.0,10,75,173.17,251.1,225.99
0164L00010 BELT                    ,23.54,1.0,1.0,60.0,10,75,168.54,244.38,219.94
0170K00000S SIDE WALL VENT KIT     ,27.11,1.0,1.0,60.0,10,75,172.11,249.56,224.6
"0170K00001S 2"" FLUSH MOUNT VENT    ",19.16,1.0,1.0,60.0,10,75,164.16,238.03,214.23
0171M00000S VENT MOTOR             ,160.99,2.5,1.3,195.0,10,75,440.99,639.44,575.49
0175A00022 8KW HEAT KIT            ,68.28,1.0,1.0,60.0,10,75,213.28,309.26,278.33
0175A00023 10KW HEAT KIT           ,78.21,1.0,1.0,60.0,10,75,223.21,323.65,291.29
0200054001P LIMIT                  ,57.26,1.0,1.0,60.0,10,75,202.26,293.28,263.95
0200086001P THERMAL LIMIT          ,24.63,1.0,1.0,60.0,10,75,169.63,245.96,221.37
0200-140-001P ONE TIME FUSE LINK   ,4.31,1.0,1.0,60.0,10,75,149.31,216.5,194.85
0200-142-001P ONE SHOT LIMIT       ,43.98,1.0,1.0,60.0,10,75,188.98,274.02,246.62
0200-148-001P ONE SHOT LIMIT       ,10.57,1.0,1.0,60.0,10,75,155.57,225.58,203.02
0200-150-001P ONE TIME FUSE LINK   ,3.94,1.0,1.0,60.0,10,75,148.94,215.96,194.37
0200-151-001P ONE SHOT LIMIT       ,9.94,1.0,1.0,60.0,10,75,154.94,224.66,202.2
020086001P ONE TIME FUSE LINK      ,23.06,1.0,1.0,60.0,10,75,168.06,243.69,219.32
0201G00002PS COND COIL             ,1325.41,3.0,1.2,216.0,10,75,1626.41,2358.29,2122.47
0201G00043P COND COIL GPC13        ,760.46,3.0,1.2,216.0,10,75,1061.46,1539.12,1385.21
0201G00053PS COND.COIL             ,1147.95,3.0,1.2,216.0,10,75,1448.95,2100.98,1890.88
0201G00067S COND COIL GPH13M       ,833.25,3.0,1.2,216.0,10,75,1134.25,1644.66,1480.2
0201G00072S COND COIL GPH13        ,1075.94,3.0,1.2,216.0,10,75,1376.94,1996.56,1796.91
0201G00086S COND COIL GPG36/42     ,740.4,3.0,1.2,216.0,10,75,1041.4,1510.03,1359.03
0201G00088S COND COIL GPH13M       ,1265.76,3.0,1.2,216.0,10,75,1566.76,2271.8,2044.62
0201G00094S COND COIL GPH15        ,832.35,3.0,1.2,216.0,10,75,1133.35,1643.36,1479.02
0201G00096S COND COIL GPH15        ,1278.08,3.0,1.2,216.0,10,75,1579.08,2289.67,2060.7
0201G00096SP COND COIL GPH15       ,1756.71,3.0,1.2,216.0,10,75,2057.71,2983.68,2685.31
0201G00102S COND COIL GPH13        ,696.19,3.0,1.2,216.0,10,75,997.19,1445.93,1301.33
0201G00111S COND COIL              ,767.6,3.0,1.2,216.0,10,75,1068.6,1549.47,1394.52
0201G00114S COND COIL GPH1330H21   ,781.98,3.0,1.2,216.0,10,75,1082.98,1570.32,1413.29
0201G00126S COND COIL GPH14        ,764.95,3.0,1.2,216.0,10,75,1065.95,1545.63,1391.06
0201G00126SP COND COIL TUBE ASSY   ,1513.49,3.0,1.2,216.0,10,75,1814.49,2631.01,2367.91
0201G00131S COND COIL              ,834.38,3.0,1.2,216.0,10,75,1135.38,1646.3,1481.67
0201G00134S COND COIL              ,831.78,3.0,1.2,216.0,10,75,1132.78,1642.53,1478.28
0201G00135S COND COIL              ,829.6,3.0,1.2,216.0,10,75,1130.6,1639.37,1475.43
0201G00137S COND COIL              ,785.24,3.0,1.2,216.0,10,75,1086.24,1575.05,1417.54
0201G00139S GPG COND COIL          ,929.51,3.0,1.2,216.0,10,75,1230.51,1784.24,1605.82
0201G00141S COND COIL              ,1217.76,3.0,1.2,216.0,10,75,1518.76,2202.2,1981.98
0201G00164S COND COIL              ,886.94,3.0,1.2,216.0,10,75,1187.94,1722.51,1550.26
0201G00164SP COND COIL             ,3257.22,3.0,1.2,216.0,10,75,3558.22,5159.42,4643.48
0201G00175SP COND COIL             ,1378.06,3.0,1.2,216.0,10,75,1679.06,2434.64,2191.17
0201G00176S CONDENSOR COIL         ,1080.9,3.0,1.2,216.0,10,75,1381.9,2003.76,1803.38
0201G00176SP COND COIL TUBE ASSY   ,1097.43,3.0,1.2,216.0,10,75,1398.43,2027.72,1824.95
0201G00177S COND COIL              ,1579.54,3.0,1.2,216.0,10,75,1880.54,2726.78,2454.1
0201G00177SP COND COIL ASSY        ,1603.67,3.0,1.2,216.0,10,75,1904.67,2761.77,2485.59
0201G00181S COND COIL              ,1314.78,3.0,1.2,216.0,10,75,1615.78,2342.88,2108.59
0201G00247S CONDENSER COIL ASSY    ,788.79,3.0,1.2,216.0,10,75,1089.79,1580.2,1422.18
0201G00249S COND COIL              ,938.08,3.0,1.2,216.0,10,75,1239.08,1796.67,1617.0
0201G00252S COND COIL              ,1063.63,3.0,1.2,216.0,10,75,1364.63,1978.71,1780.84
0201G00262S CONDENSER COIL ASSY    ,952.32,3.0,1.2,216.0,10,75,1253.32,1817.31,1635.58
0201G00319S COND COIL TUBING ASY   ,943.25,3.0,1.2,216.0,10,75,1244.25,1804.16,1623.75
0201G00324S COND COIL              ,1039.59,3.0,1.2,216.0,10,75,1340.59,1943.86,1749.47
0201G00324SP COND COIL ASSY        ,3487.05,3.0,1.2,216.0,10,75,3788.05,5492.67,4943.41
0201G00339S--COND COIL             ,1292.43,3.0,1.2,216.0,10,75,1593.43,2310.47,2079.43
0201G00368S COND COIL ASSY         ,1070.89,3.0,1.2,216.0,10,75,1371.89,1989.24,1790.32
0201G00376S COND COIL              ,1122.35,3.0,1.2,216.0,10,75,1423.35,2063.86,1857.47
0201G00457S COND COIL              ,1223.79,3.0,1.2,216.0,10,75,1524.79,2210.95,1989.85
0201G00460S CONDENSER COIL         ,1235.57,3.0,1.2,216.0,10,75,1536.57,2228.03,2005.22
0201L00002S COND COIL              ,1508.1,3.0,1.2,216.0,10,75,1809.1,2623.2,2360.88
0201L00012S COND COIL              ,1140.67,3.0,1.2,216.0,10,75,1441.67,2090.42,1881.38
0201L00040S COND COIL              ,1111.73,3.0,1.2,216.0,10,75,1412.73,2048.46,1843.61
0201L00053S COND COIL TUBING ASS   ,1379.51,3.0,1.2,216.0,10,75,1680.51,2436.74,2193.07
0201L00128S CONDENSER COIL         ,1061.98,3.0,1.2,216.0,10,75,1362.98,1976.32,1778.69
0201L00141S CONDENSING COIL        ,1075.11,3.0,1.2,216.0,10,75,1376.11,1995.36,1795.82
0201L00151S COND COIL ASMBLY       ,1964.78,3.0,1.2,216.0,10,75,2265.78,3285.38,2956.84
0201L00152S COND COIL              ,2250.79,3.0,1.2,216.0,10,75,2551.79,3700.1,3330.09
0201L00200S COND COIL ASSY  C1     ,1460.19,3.0,1.2,216.0,10,75,1761.19,2553.73,2298.35
0201L00201S COND COIL              ,1372.73,3.0,1.2,216.0,10,75,1673.73,2426.91,2184.22
0201L00679S COND COIL              ,1343.75,3.0,1.2,216.0,10,75,1644.75,2384.89,2146.4
0201L00680S COND COIL              ,1532.33,3.0,1.2,216.0,10,75,1833.33,2658.33,2392.5
0201L00828S COND COIL C1           ,1676.43,3.0,1.2,216.0,10,75,1977.43,2867.27,2580.55
0201P00079SP CONDENSER ASSY        ,513.7,1.0,1.0,60.0,10,75,658.7,955.12,859.6
0201R00060S COND. COIL             ,1570.14,3.0,1.2,216.0,10,75,1871.14,2713.15,2441.84
0201R00061S - COND COIL            ,797.84,3.0,1.2,216.0,10,75,1098.84,1593.32,1433.99
0201R00062S COND COIL              ,896.62,3.0,1.2,216.0,10,75,1197.62,1736.55,1562.89
0201R00071S COND COIL              ,804.51,3.0,1.2,216.0,10,75,1105.51,1602.99,1442.69
0201R00072S COND COIL              ,1129.95,3.0,1.2,216.0,10,75,1430.95,2074.88,1867.39
0201R00073S COND COIL              ,1796.81,3.0,1.2,216.0,10,75,2097.81,3041.82,2737.64
0201R00074S COND COIL              ,891.52,3.0,1.2,216.0,10,75,1192.52,1729.15,1556.24
0201R00075S COND COIL              ,961.4,3.0,1.2,216.0,10,75,1262.4,1830.48,1647.43
0201R00076S COIL                   ,1371.81,3.0,1.2,216.0,10,75,1672.81,2425.57,2183.02
0201R00085S COIL                   ,1734.51,3.0,1.2,216.0,10,75,2035.51,2951.49,2656.34
0201R00143S COND COIL              ,799.11,3.0,1.2,216.0,10,75,1100.11,1595.16,1435.64
0201R00146S COND COIL              ,799.73,3.0,1.2,216.0,10,75,1100.73,1596.06,1436.45
0201R00150S COND COIL              ,708.68,3.0,1.2,216.0,10,75,1009.68,1464.04,1317.63
0201R00152S COND COIL              ,950.52,3.0,1.2,216.0,10,75,1251.52,1814.7,1633.23
0201R00155S COND COIL              ,1499.75,3.0,1.2,216.0,10,75,1800.75,2611.09,2349.98
0201R00156S COND COIL              ,684.13,3.0,1.2,216.0,10,75,985.13,1428.44,1285.59
0201R00157S COND COIL              ,832.38,3.0,1.2,216.0,10,75,1133.38,1643.4,1479.06
0201R00176S COND COIL              ,685.1,3.0,1.2,216.0,10,75,986.1,1429.84,1286.86
0201R00196S COND COIL              ,673.4,3.0,1.2,216.0,10,75,974.4,1412.88,1271.59
0201R00230S COND COIL              ,723.08,3.0,1.2,216.0,10,75,1024.08,1484.92,1336.42
0201R00242S COND COIL              ,1039.84,3.0,1.2,216.0,10,75,1340.84,1944.22,1749.8
0201R00251S COND COIL              ,591.22,3.0,1.2,216.0,10,75,892.22,1293.72,1164.35
0201R00271S COND COIL ASSY         ,695.9,3.0,1.2,216.0,10,75,996.9,1445.5,1300.95
0201R00273S - COND COIL            ,823.97,3.0,1.2,216.0,10,75,1124.97,1631.21,1468.09
0201R00279S CONDENSING COIL        ,830.98,3.0,1.2,216.0,10,75,1131.98,1641.37,1477.23
0201R00285S COND COIL              ,984.7,3.0,1.2,216.0,10,75,1285.7,1864.26,1677.84
0201R00299S COND COIL              ,940.21,3.0,1.2,216.0,10,75,1241.21,1799.75,1619.78
0201R00304S COND COIL              ,1077.3,3.0,1.2,216.0,10,75,1378.3,1998.54,1798.68
0201R00312S COND COIL              ,1107.32,3.0,1.2,216.0,10,75,1408.32,2042.06,1837.86
0201R00316S COND COIL              ,926.94,3.0,1.2,216.0,10,75,1227.94,1780.51,1602.46
0201R00317S COND COIL              ,1087.95,3.0,1.2,216.0,10,75,1388.95,2013.98,1812.58
0201R00338S  COND COIL             ,946.76,3.0,1.2,216.0,10,75,1247.76,1809.25,1628.33
0201R00348S COND COIL              ,957.03,3.0,1.2,216.0,10,75,1258.03,1824.14,1641.73
0201R00377S COND COIL              ,1592.14,3.0,1.2,216.0,10,75,1893.14,2745.05,2470.55
0201R00384S COND COIL              ,778.97,3.0,1.2,216.0,10,75,1079.97,1565.96,1409.36
0201R00398S COND COIL              ,805.3,3.0,1.2,216.0,10,75,1106.3,1604.14,1443.72
0201R00426S COND COIL              ,1085.43,3.0,1.2,216.0,10,75,1386.43,2010.32,1809.29
0201R00515S COND COIL              ,1145.33,3.0,1.2,216.0,10,75,1446.33,2097.18,1887.46
0201R00567S  5TON COIL             ,1658.76,3.0,1.2,216.0,10,75,1959.76,2841.65,2557.49
0201R00581S COIL                   ,1321.27,3.0,1.2,216.0,10,75,1622.27,2352.29,2117.06
0201R00584S SERVICE COIL PACK      ,776.33,3.0,1.2,216.0,10,75,1077.33,1562.13,1405.92
0201R00603S COND COIL ASZ14024     ,1072.38,3.0,1.2,216.0,10,75,1373.38,1991.4,1792.26
0201R00604S COND COIL              ,912.78,3.0,1.2,216.0,10,75,1213.78,1759.98,1583.98
0201R00663S COND COIL              ,1174.87,3.0,1.2,216.0,10,75,1475.87,2140.01,1926.01
0201R00673S COND COIL              ,1062.13,3.0,1.2,216.0,10,75,1363.13,1976.54,1778.88
0201R00732S COIL                   ,1407.76,3.0,1.2,216.0,10,75,1708.76,2477.7,2229.93
0201R00759S CONDENSER COIL         ,1250.79,3.0,1.2,216.0,10,75,1551.79,2250.1,2025.09
0201R00768S COIL TUBING ASSY       ,853.1,3.0,1.2,216.0,10,75,1154.1,1673.44,1506.1
0201R00780S CONDENSER COIL R-32    ,1393.46,3.0,1.2,216.0,10,75,1694.46,2456.97,2211.27
0201R00834S COND COIL              ,661.76,3.0,1.2,216.0,10,75,962.76,1396.0,1256.4
0201R00853S CONDENSER COIL R-32    ,773.68,3.0,1.2,216.0,10,75,1074.68,1558.29,1402.46
0201R00854S CONDENSER COIL R-32    ,851.98,3.0,1.2,216.0,10,75,1152.98,1671.82,1504.64
0201R00855S CONDENSER COIL R-32    ,892.0,3.0,1.2,216.0,10,75,1193.0,1729.85,1556.86
0201R00856S CONDENSER COIL R-32    ,1225.83,3.0,1.2,216.0,10,75,1526.83,2213.9,1992.51
0201R00859S CONDENSER COIL R-32    ,1473.7,3.0,1.2,216.0,10,75,1774.7,2573.32,2315.98
0202A00233S EVAP COIL              ,1863.33,3.0,1.2,216.0,10,75,2164.33,3138.28,2824.45
0202A00269S EVAP COIL              ,2460.92,3.0,1.2,216.0,10,75,2761.92,4004.78,3604.31
0202G00002PS EVAP COIL GPH COATD   ,1070.68,3.0,1.2,216.0,10,75,1371.68,1988.94,1790.04
0202G00074PS EVAP COIL GPH         ,914.71,3.0,1.2,216.0,10,75,1215.71,1762.78,1586.5
"0202G00074PSC ""COATED"" COIL        ",1050.71,3.0,1.2,216.0,10,75,1351.71,1959.98,1763.98
0202G00075PS EVAP COIL             ,740.89,3.0,1.2,216.0,10,75,1041.89,1510.74,1359.67
"0202G00075PSC ""COATED"" EVAP.COIL   ",1003.52,3.0,1.2,216.0,10,75,1304.52,1891.55,1702.4
0202G00106S EVAP COIL              ,724.19,3.0,1.2,216.0,10,75,1025.19,1486.53,1337.87
0202G00111S EVAP COIL              ,770.38,3.0,1.2,216.0,10,75,1071.38,1553.5,1398.15
0202G00112S EVAP COIL              ,562.0,3.0,1.2,216.0,10,75,863.0,1251.35,1126.21
0202G00130S EVAP COIL GPG13        ,752.03,3.0,1.2,216.0,10,75,1053.03,1526.89,1374.2
0202G00136S EVAP COIL GPH          ,769.59,3.0,1.2,216.0,10,75,1070.59,1552.36,1397.12
0202G00138SP EVAP COOL GPH         ,1093.16,1.0,1.0,60.0,10,75,1238.16,1795.33,1615.8
0202G00213S EVAP COIL              ,726.79,3.0,1.2,216.0,10,75,1027.79,1490.3,1341.27
0202G00258S EVAP COIL GPH14        ,984.25,3.0,1.2,216.0,10,75,1285.25,1863.61,1677.25
0202G00267S  COIL                  ,731.17,3.0,1.2,216.0,10,75,1032.17,1496.65,1346.98
0202G00271S COIL                   ,783.32,3.0,1.2,216.0,10,75,1084.32,1572.26,1415.04
0202G00273S EVAP COIL              ,764.43,3.0,1.2,216.0,10,75,1065.43,1544.87,1390.39
0202G00279S COIL                   ,471.79,3.0,1.2,216.0,10,75,772.79,1120.55,1008.49
0202G00288S EVAP.COIL              ,776.92,3.0,1.2,216.0,10,75,1077.92,1562.98,1406.69
0202G00291S EVAP COIL              ,794.11,3.0,1.2,216.0,10,75,1095.11,1587.91,1429.12
0202G00298S EVAP COIL              ,664.87,3.0,1.2,216.0,10,75,965.87,1400.51,1260.46
0202G00324S EVAP COIL GPH          ,744.83,3.0,1.2,216.0,10,75,1045.83,1516.45,1364.81
0202G00351S EVAP COIL ASSY         ,500.11,3.0,1.2,216.0,10,75,801.11,1161.61,1045.45
0202G00352S EVAP COIL ASSY         ,623.68,3.0,1.2,216.0,10,75,924.68,1340.79,1206.71
0202G00354S EVAP COIL ASSY         ,869.54,3.0,1.2,216.0,10,75,1170.54,1697.28,1527.55
"0202G00355S ""ALUMINUM"" COIL        ",670.29,3.0,1.2,216.0,10,75,971.29,1408.37,1267.53
0202G00356S EVAP COIL ASSY         ,815.3,3.0,1.2,216.0,10,75,1116.3,1618.64,1456.77
0202G00375S ALUM COIL              ,841.79,3.0,1.2,216.0,10,75,1142.79,1657.05,1491.34
0202G00376S ALUM COIL              ,929.73,3.0,1.2,216.0,10,75,1230.73,1784.56,1606.1
0202G00377S ALUM COIL              ,935.33,3.0,1.2,216.0,10,75,1236.33,1792.68,1613.41
0202G00388S EVAP COIL              ,667.48,3.0,1.2,216.0,10,75,968.48,1404.3,1263.87
0202G00398S EVAP COIL ASSY         ,572.25,3.0,1.2,216.0,10,75,873.25,1266.21,1139.59
0202G00400S EVAP COIL              ,660.21,3.0,1.2,216.0,10,75,961.21,1393.75,1254.38
0202G00408S EVAP COIL              ,767.62,3.0,1.2,216.0,10,75,1068.62,1549.5,1394.55
0202G00409S EVAP COIL              ,766.76,3.0,1.2,216.0,10,75,1067.76,1548.25,1393.43
0202G00542S EVAP COIL              ,945.87,3.0,1.2,216.0,10,75,1246.87,1807.96,1627.17
0202G00550S EVAP COIL              ,801.6,3.0,1.2,216.0,10,75,1102.6,1598.77,1438.89
0202G00557S COIL                   ,866.83,3.0,1.2,216.0,10,75,1167.83,1693.35,1524.02
0202G00565S COIL                   ,723.84,3.0,1.2,216.0,10,75,1024.84,1486.02,1337.42
0202G00567S  COIL                  ,845.03,3.0,1.2,216.0,10,75,1146.03,1661.74,1495.57
0202G00569S COIL                   ,939.4,3.0,1.2,216.0,10,75,1240.4,1798.58,1618.72
0202G00570S COIL                   ,991.59,3.0,1.2,216.0,10,75,1292.59,1874.26,1686.83
0202G00574S EVAP COIL              ,859.76,3.0,1.2,216.0,10,75,1160.76,1683.1,1514.79
0202G00577S EVAP COIL              ,694.35,3.0,1.2,216.0,10,75,995.35,1443.26,1298.93
0202G00582S COIL                   ,745.27,3.0,1.2,216.0,10,75,1046.27,1517.09,1365.38
0202G00583S EVAP COIL              ,627.75,3.0,1.2,216.0,10,75,928.75,1346.69,1212.02
0202G00598S COIL                   ,1128.3,3.0,1.2,216.0,10,75,1429.3,2072.48,1865.24
0202G00629S EVAP COIL              ,814.05,3.0,1.2,216.0,10,75,1115.05,1616.82,1455.14
0202G00651S EVAP COIL ASSEMBLY     ,1075.24,3.0,1.2,216.0,10,75,1376.24,1995.55,1795.99
0202G00665S EVAP COIL              ,911.43,3.0,1.2,216.0,10,75,1212.43,1758.02,1582.22
0202G00708S EVAP COIL              ,820.11,3.0,1.2,216.0,10,75,1121.11,1625.61,1463.05
0202G00746S COIL TUBING ASSY       ,781.6,3.0,1.2,216.0,10,75,1082.6,1569.77,1412.79
0202G00749S EVAP COIL              ,829.02,3.0,1.2,216.0,10,75,1130.02,1638.53,1474.68
0202G00750S EVAP COIL ASSEMBLY     ,1028.4,3.0,1.2,216.0,10,75,1329.4,1927.63,1734.87
0202L00007S EVAP COIL              ,1886.22,3.0,1.2,216.0,10,75,2187.22,3171.47,2854.32
0202L00020S EVAP COIL              ,1257.73,3.0,1.2,216.0,10,75,1558.73,2260.16,2034.14
0202L00020SP EVAP COIL TUBING      ,1551.35,3.0,1.2,216.0,10,75,1852.35,2685.91,2417.32
0202L00079S EVAP COIL              ,2683.94,3.0,1.2,216.0,10,75,2984.94,4328.16,3895.35
0210G00030P PROCESS TUBE ASSEMBL   ,11.0,1.0,1.0,60.0,10,75,156.0,226.2,203.58
0210G00297S  REV VALVE ASSY        ,131.53,1.5,1.2,108.0,10,75,324.53,470.57,423.51
0210G00298S  REV VALVE ASSY        ,195.65,1.5,1.2,108.0,10,75,388.65,563.54,507.19
0210G00299S  REV VALVE ASSY        ,166.37,1.5,1.2,108.0,10,75,359.37,521.09,468.98
0210G00300S  REV VALVE ASSY        ,171.2,1.5,1.2,108.0,10,75,364.2,528.09,475.28
0210G00301S  REV VALVE ASSY        ,149.33,1.5,1.2,108.0,10,75,342.33,496.38,446.74
0210G00303S  REV VALVE ASSY        ,190.84,1.5,1.2,108.0,10,75,383.84,556.57,500.91
0210G00304S  REV VALVE ASSY        ,158.3,1.5,1.2,108.0,10,75,351.3,509.38,458.45
0210G00305S  REV VALVE ASSY        ,164.65,1.5,1.2,108.0,10,75,357.65,518.59,466.73
0210G00306S  REV VALVE ASSY        ,177.87,1.5,1.2,108.0,10,75,370.87,537.76,483.99
0210G00307S REVERSING VALVE ASSY   ,190.24,1.5,1.2,108.0,10,75,383.24,555.7,500.13
0210G00313S REVERSING VALVE ASSY   ,163.08,1.5,1.2,108.0,10,75,356.08,516.32,464.68
0210G0043PS REV VALVE ASSY         ,148.11,1.5,1.2,108.0,10,75,341.11,494.61,445.15
0210R01035S  REV VALVE ASSY        ,255.41,1.5,1.2,108.0,10,75,448.41,650.19,585.18
0210R01042S  REV VALVE ASSY        ,202.7,1.5,1.2,108.0,10,75,395.7,573.76,516.39
0210R01043S  REV VALVE ASSY        ,207.04,1.5,1.2,108.0,10,75,400.04,580.06,522.05
0210R01051S  REV VALVE ASSY        ,196.61,1.5,1.2,108.0,10,75,389.61,564.93,508.44
0210R01052S  REV VALVE ASSY        ,215.07,1.5,1.2,108.0,10,75,408.07,591.7,532.53
0210R01054S  REV VALVE ASSY        ,260.8,1.5,1.2,108.0,10,75,453.8,658.01,592.21
0210R01055S  REV VALVE ASSY        ,276.43,1.5,1.2,108.0,10,75,469.43,680.67,612.61
0210R01056S  REV VALVE ASSY        ,284.96,1.5,1.2,108.0,10,75,477.96,693.04,623.74
0210R01057S  REV VALVE ASSY        ,185.25,1.5,1.2,108.0,10,75,378.25,548.46,493.62
021R00316PDG LOWER ACCESS PANEL    ,7.17,1.0,1.0,60.0,10,75,152.17,220.65,198.58
0221L00011 CONCENTRIC DIFFUSER     ,1347.97,1.0,1.0,60.0,10,75,1492.97,2164.81,1948.33
0221L00012 CNCNTRC DIFFUSER 10T    ,2355.48,1.0,1.0,60.0,10,75,2500.48,3625.7,3263.13
0230K00007 R-32 ZONING KIT         ,65.4,1.0,1.0,60.0,10,75,210.4,305.08,274.57
0231K00011A MOTOR KIT              ,875.67,2.5,1.3,195.0,10,75,1155.67,1675.72,1508.15
0231K00012A MOTOR KIT              ,824.92,2.5,1.3,195.0,10,75,1104.92,1602.13,1441.92
0231K00017A MOTOR KIT              ,883.92,2.5,1.3,195.0,10,75,1163.92,1687.68,1518.92
0231K00029A SERVICE MOTOR KIT      ,948.73,2.5,1.3,195.0,10,75,1228.73,1781.66,1603.49
0231K00034A MOTOR                  ,1016.48,2.5,1.3,195.0,10,75,1296.48,1879.9,1691.91
0231K00039 3/4 HP PROG MOTOR       ,399.26,2.5,1.3,195.0,10,75,679.26,984.93,886.43
0231K00040 MOTOR 1HP PROG          ,612.16,2.5,1.3,195.0,10,75,892.16,1293.63,1164.27
0231K00041 MOTOR 3/4HP PROG        ,474.55,2.5,1.3,195.0,10,75,754.55,1094.1,984.69
0231K00043 3/4HP PROG MOTOR        ,454.19,2.5,1.3,195.0,10,75,734.19,1064.58,958.12
0231K00044 1HP PROG MOTOR          ,483.83,2.5,1.3,195.0,10,75,763.83,1107.55,996.8
0231K00059 MTR 1/2HP PROG X13 M1   ,355.6,1.0,1.0,60.0,10,75,500.6,725.87,653.28
0231K00060 MTR 1/2HP PROG X13 M2   ,355.68,1.0,1.0,60.0,10,75,500.68,725.99,653.39
0231K00062 MTR 3/4HP PROG X13 M3   ,439.62,1.0,1.0,60.0,10,75,584.62,847.7,762.93
0231K00063 SERVICE MOTOR           ,389.67,2.5,1.3,195.0,10,75,669.67,971.02,873.92
0231K00064 MOTOR                   ,389.67,2.5,1.3,195.0,10,75,669.67,971.02,873.92
0231K00069 MOTOR                   ,433.23,2.5,1.3,195.0,10,75,713.23,1034.18,930.77
0231K00072 SERVICE MOTOR KIT       ,527.39,2.5,1.3,195.0,10,75,807.39,1170.72,1053.64
0257F00070  HEAT EXCHANGER         ,550.02,1.0,1.0,60.0,10,75,695.02,1007.78,907.0
0257F00075 HEAT EXCHANGER          ,561.75,1.0,1.0,60.0,10,75,706.75,1024.79,922.31
0257F00140S HEAT EXCHANGER         ,710.98,1.0,1.0,60.0,10,75,855.98,1241.17,1117.05
0257F00146S HEAT EXCHANGER         ,714.75,1.0,1.0,60.0,10,75,859.75,1246.64,1121.97
0257F00158S HEAT EX                ,723.53,1.0,1.0,60.0,10,75,868.53,1259.37,1133.43
0257F00159S HEAT EXCHANGER         ,772.73,1.0,1.0,60.0,10,75,917.73,1330.71,1197.64
0257F00172S HEATEXCHANGER          ,652.02,1.0,1.0,60.0,10,75,797.02,1155.68,1040.11
0257F00173S HT. EXCHANGER          ,774.5,1.0,1.0,60.0,10,75,919.5,1333.28,1199.95
0257F00174S HEAT EXCHANGER         ,900.23,1.0,1.0,60.0,10,75,1045.23,1515.58,1364.03
0257F00182S HEAT EXCHANGER         ,812.52,1.0,1.0,60.0,10,75,957.52,1388.4,1249.56
0257F00191S HEAT EXCHANGER         ,679.18,1.0,1.0,60.0,10,75,824.18,1195.06,1075.55
0257F00222S HEAT EXCHANGER ASSY    ,911.65,1.0,1.0,60.0,10,75,1056.65,1532.14,1378.93
0257F00289S HEAT EXCHANGER ASSLY   ,484.27,1.0,1.0,60.0,10,75,629.27,912.44,821.2
0257F00291S HEAT EXCHANGER         ,659.77,1.0,1.0,60.0,10,75,804.77,1166.92,1050.22
0257F00375S HEAT EXCHANGER         ,447.3,1.0,1.0,60.0,10,75,592.3,858.83,772.95
0257F00418S HEAT EXCHANGER         ,448.7,1.0,1.0,60.0,10,75,593.7,860.86,774.78
0257F20086S HEAT EXCHANGER         ,447.83,1.0,1.0,60.0,10,75,592.83,859.6,773.64
0259A00013P FEMALE WIRE HARNESS    ,7.57,1.0,1.0,60.0,10,75,152.57,221.23,199.1
0259A00015P WIRING HARNESS         ,6.43,1.0,1.0,60.0,10,75,151.43,219.57,197.62
0259A00021S WIRE ASSY 9PIN         ,37.4,1.0,1.0,60.0,10,75,182.4,264.48,238.03
0259A00024S WIRE HARNESS ASS'Y     ,32.27,1.0,1.0,60.0,10,75,177.27,257.04,231.34
0259A00025S WIRE HARNESS ASS'Y     ,38.52,1.0,1.0,60.0,10,75,183.52,266.1,239.49
0259A00031P WIRE ASSY 9PIN FEM     ,15.92,1.0,1.0,60.0,10,75,160.92,233.33,210.0
0259A00031PS WIRE HARNESS CONN     ,39.05,1.0,1.0,60.0,10,75,184.05,266.87,240.19
0259A00033P WIRE HARNESS CONECTR   ,9.41,1.0,1.0,60.0,10,75,154.41,223.89,201.51
0259A00033PS WIRE ASSY 9PIN CONN   ,37.43,1.0,1.0,60.0,10,75,182.43,264.52,238.07
0259F00007P 12-PIN WIRING HARNES   ,25.24,1.0,1.0,60.0,10,75,170.24,246.85,222.16
0259F00008P 15-PIN WIRING HARNES   ,12.92,1.0,1.0,60.0,10,75,157.92,228.98,206.09
0259F00054S WIRE HARNESS 12 PIN    ,18.44,1.0,1.0,60.0,10,75,163.44,236.99,213.29
0259G00027 6 CIRCUIT WIRE HARNES   ,12.57,1.0,1.0,60.0,10,75,157.57,228.48,205.63
0259G00027S WIRE HARNESS ASSY      ,10.33,1.0,1.0,60.0,10,75,155.33,225.23,202.71
